Season,Match Date,Home Score,Home Team,Away Score,Away Team,Competition,Attendance,Venue,Referee
2005,"Friday, 25th March 2005",20,Sheffield Eagles,38,Doncaster Dragons,National League Cup Qual (32),1003,"Clifton Lane, Rotherham, England",Mike Dawber
2005,"Monday, 28th March 2005",26,London Skolars,56,Sheffield Eagles,League 3,200,,
2005,"Sunday, 3rd April 2005",33,Barrow Raiders,26,Sheffield Eagles,Challenge Cup 4 (32),893,,
2005,"Friday, 8th April 2005",6,Sheffield Eagles,14,Blackpool Panthers,League 3,727,"Don Valley Stadium, Sheffield, England",Paul Carr
2005,"Sunday, 17th April 2005",60,York City Knights,10,Sheffield Eagles,League 3,1596,,
2005,"Friday, 22nd April 2005",4,Sheffield Eagles,28,Keighley Cougars,League 3,804,"Don Valley Stadium, Sheffield, England",Phil Bentham
2005,"Sunday, 15th May 2005",30,Hunslet Hawks,12,Sheffield Eagles,League 3,383,,
2005,"Friday, 20th May 2005",30,Sheffield Eagles,18,Gateshead Thunder,League 3,664,"Don Valley Stadium, Sheffield, England",Craig Halloran
2005,"Sunday, 5th June 2005",24,Dewsbury Rams,31,Sheffield Eagles,League 3,988,,
2005,"Saturday, 11th June 2005",31,Sheffield Eagles,28,Workington Town,League 3,650,"Woodbourn Athletic Stadium, Sheffield, England",Paul Carr
2005,"Sunday, 26th June 2005",42,Swinton Lions,24,Sheffield Eagles,League 3,425,"Park Lane, Whitefield, England",Mike Dawber
2005,"Sunday, 3rd July 2005",26,Blackpool Panthers,44,Sheffield Eagles,League 3,410,,
2005,"Friday, 22nd July 2005",24,Sheffield Eagles,34,Hunslet Hawks,League 3,846,"Don Valley Stadium, Sheffield, England",Ben Thaler
2005,"Sunday, 31st July 2005",20,Keighley Cougars,33,Sheffield Eagles,League 3,609,,
2005,"Friday, 5th August 2005",27,Sheffield Eagles,12,Dewsbury Rams,League 3,884,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2005,"Sunday, 14th August 2005",34,Workington Town,10,Sheffield Eagles,League 3,866,,
2005,"Sunday, 21st August 2005",41,Gateshead Thunder,18,Sheffield Eagles,League 3,371,,
2005,"Monday, 29th August 2005",30,Sheffield Eagles,18,London Skolars,League 3,764,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2005,"Friday, 2nd September 2005",14,Sheffield Eagles,38,Swinton Lions,League 3,806,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2005,"Friday, 9th September 2005",10,Sheffield Eagles,36,York City Knights,League 3,1154,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2006,"Sunday, 12th February 2006",18,Featherstone Rovers,38,Sheffield Eagles,National League Cup Qual (32),1071,,
2006,"Friday, 17th February 2006",29,Sheffield Eagles,24,York City Knights,National League Cup Qual (32),1145,"Don Valley Stadium, Sheffield, England",Ian Smith
2006,"Friday, 24th February 2006",22,Sheffield Eagles,44,Hull Kingston Rovers,National League Cup Qual (32),1347,"Don Valley Stadium, Sheffield, England",Robert Hicks
2006,"Sunday, 5th March 2006",32,York City Knights,16,Sheffield Eagles,National League Cup Qual (32),1369,,
2006,"Tuesday, 14th March 2006",42,Swinton Lions,18,Sheffield Eagles,Challenge Cup 3 (64),320,"Park Lane, Whitefield, England",Mike Dawber
2006,"Sunday, 19th March 2006",10,Sheffield Eagles,18,Featherstone Rovers,National League Cup Qual (32),769,"Clifton Lane, Rotherham, England",Peter Taberner
2006,"Sunday, 26th March 2006",52,Hull Kingston Rovers,12,Sheffield Eagles,National League Cup Qual (32),2314,,
2006,"Friday, 7th April 2006",44,Sheffield Eagles,12,Keighley Cougars,League 3,798,"Don Valley Stadium, Sheffield, England",Peter Taberner
2006,"Friday, 14th April 2006",30,Featherstone Rovers,56,Sheffield Eagles,League 3,1095,,
2006,"Monday, 17th April 2006",22,Sheffield Eagles,20,Celtic Crusaders,League 3,981,"Don Valley Stadium, Sheffield, England",Dave Merrick
2006,"Sunday, 23rd April 2006",38,Whitehaven,30,Sheffield Eagles,National League Cup QFQ (16),1451,,
2006,"Friday, 28th April 2006",44,Sheffield Eagles,46,Workington Town,League 3,756,"Don Valley Stadium, Sheffield, England",Robert Hicks
2006,"Sunday, 7th May 2006",27,Dewsbury Rams,12,Sheffield Eagles,League 3,912,,
2006,"Friday, 12th May 2006",38,Sheffield Eagles,14,Gateshead Thunder,League 3,707,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2006,"Sunday, 21st May 2006",10,London Skolars,38,Sheffield Eagles,League 3,368,,
2006,"Friday, 26th May 2006",34,Sheffield Eagles,20,Hunslet Hawks,League 3,775,"Don Valley Stadium, Sheffield, England",Dave Merrick
2006,"Sunday, 4th June 2006",27,Gateshead Thunder,26,Sheffield Eagles,League 3,231,,
2006,"Friday, 9th June 2006",29,Sheffield Eagles,8,Barrow Raiders,League 3,882,"Don Valley Stadium, Sheffield, England",Paul Carr
2006,"Sunday, 18th June 2006",28,Celtic Crusaders,12,Sheffield Eagles,League 3,931,,
2006,"Friday, 23rd June 2006",44,Sheffield Eagles,28,Featherstone Rovers,League 3,935,"Don Valley Stadium, Sheffield, England",Julian King
2006,"Sunday, 2nd July 2006",12,Barrow Raiders,32,Sheffield Eagles,League 3,836,,
2006,"Sunday, 9th July 2006",14,Swinton Lions,24,Sheffield Eagles,League 3,421,"Park Lane, Whitefield, England",Craig Halloran
2006,"Sunday, 16th July 2006",10,Workington Town,70,Sheffield Eagles,League 3,568,,
2006,"Friday, 21st July 2006",46,Sheffield Eagles,0,London Skolars,League 3,729,"Don Valley Stadium, Sheffield, England",Peter Brooke
2006,"Friday, 28th July 2006",18,Sheffield Eagles,14,Swinton Lions,League 3,830,"Don Valley Stadium, Sheffield, England",Robert Hicks
2006,"Sunday, 6th August 2006",20,Blackpool Panthers,40,Sheffield Eagles,League 3,308,,
2006,"Friday, 11th August 2006",21,Sheffield Eagles,20,Dewsbury Rams,League 3,1186,"Don Valley Stadium, Sheffield, England",Robert Hicks
2006,"Sunday, 20th August 2006",14,Keighley Cougars,58,Sheffield Eagles,League 3,750,,
2006,"Friday, 1st September 2006",52,Sheffield Eagles,0,Blackpool Panthers,League 3,783,"Don Valley Stadium, Sheffield, England",Leon Williamson
2006,"Sunday, 10th September 2006",16,Hunslet Hawks,48,Sheffield Eagles,League 3,527,,
2006,"Friday, 22nd September 2006",26,Sheffield Eagles,16,Celtic Crusaders,League 2 Qualifiers QSF,760,"Don Valley Stadium, Sheffield, England",Julian King
2006,"Sunday, 8th October 2006",35,Sheffield Eagles,10,Swinton Lions,League 2 Qualifiers Final,Neutral Venue: The Halliwell Jones Stadium Warrington England,Referee: Craig Halloran,
2007,"Sunday, 11th February 2007",54,Featherstone Rovers,22,Sheffield Eagles,National League Cup Qual (32),1209,,
2007,"Friday, 16th February 2007",18,Sheffield Eagles,20,Doncaster,National League Cup Qual (32),1043,"Don Valley Stadium, Sheffield, England",Robert Hicks
2007,"Sunday, 25th February 2007",38,Castleford Tigers,12,Sheffield Eagles,National League Cup Qual (32),5108,,
2007,"Sunday, 4th March 2007",12,Doncaster,20,Sheffield Eagles,National League Cup Qual (32),2753,,
2007,"Sunday, 11th March 2007",18,Leigh Miners Rangers,46,Sheffield Eagles,Challenge Cup 3 (64),,,
2007,"Friday, 16th March 2007",6,Sheffield Eagles,44,Castleford Tigers,National League Cup Qual (32),1897,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2007,"Friday, 23rd March 2007",32,Sheffield Eagles,8,Featherstone Rovers,National League Cup Qual (32),1196,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2007,"Sunday, 1st April 2007",28,Dewsbury Rams,46,Sheffield Eagles,Challenge Cup 4 (32),1038,,
2007,"Friday, 6th April 2007",20,Sheffield Eagles,24,Doncaster,League 2,1142,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2007,"Monday, 9th April 2007",22,Batley Bulldogs,22,Sheffield Eagles,League 2,667,,
2007,"Friday, 13th April 2007",4,Sheffield Eagles,46,Widnes Vikings,League 2,1211,"Don Valley Stadium, Sheffield, England",Robert Hicks
2007,"Sunday, 29th April 2007",38,Leigh Centurions,22,Sheffield Eagles,League 2,1810,,
2007,"Sunday, 6th May 2007",46,Halifax,8,Sheffield Eagles,League 2,1519,,
2007,"Sunday, 13th May 2007",44,Hull FC,6,Sheffield Eagles,Challenge Cup 5 (16),4363,,
2007,"Friday, 18th May 2007",12,Sheffield Eagles,26,Dewsbury Rams,League 2,881,"Don Valley Stadium, Sheffield, England",Ashley Klein
2007,"Sunday, 3rd June 2007",56,Widnes Vikings,10,Sheffield Eagles,League 2,2837,,
2007,"Thursday, 7th June 2007",24,Sheffield Eagles,0,Rochdale Hornets,League 2,1463,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2007,"Friday, 15th June 2007",15,Sheffield Eagles,27,Castleford Tigers,League 2,1333,"Don Valley Stadium, Sheffield, England",Peter Taberner
2007,"Sunday, 1st July 2007",20,Doncaster,32,Sheffield Eagles,League 2,1038,,
2007,"Sunday, 8th July 2007",44,Whitehaven,16,Sheffield Eagles,League 2,1343,,
2007,"Friday, 20th July 2007",39,Sheffield Eagles,12,Leigh Centurions,League 2,870,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2007,"Friday, 27th July 2007",56,Sheffield Eagles,24,Batley Bulldogs,League 2,916,"Don Valley Stadium, Sheffield, England",Leon Williamson
2007,"Sunday, 5th August 2007",52,Castleford Tigers,26,Sheffield Eagles,League 2,4138,,
2007,"Sunday, 12th August 2007",36,Rochdale Hornets,56,Sheffield Eagles,League 2,503,,
2007,"Sunday, 19th August 2007",16,Dewsbury Rams,10,Sheffield Eagles,League 2,1009,,
2007,"Friday, 31st August 2007",16,Sheffield Eagles,24,Halifax,League 2,864,"Don Valley Stadium, Sheffield, England",James Child
2007,"Thursday, 6th September 2007",26,Sheffield Eagles,14,Whitehaven,League 2,1047,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2007,"Sunday, 16th September 2007",30,Halifax,26,Sheffield Eagles,Play-offs League 2 EPO,1711,,
2008,"Friday, 1st February 2008",12,Sheffield Eagles,22,Celtic Crusaders,National League Cup Qual (32),773,"Don Valley Stadium, Sheffield, England",Ben Thaler
2008,"Friday, 8th February 2008",6,Doncaster,16,Sheffield Eagles,National League Cup Qual (32),1010,,
2008,"Saturday, 16th February 2008",34,Celtic Crusaders,14,Sheffield Eagles,National League Cup Qual (32),1006,,
2008,"Friday, 22nd February 2008",32,Sheffield Eagles,50,London Skolars,National League Cup Qual (32),669,"Don Valley Stadium, Sheffield, England",Craig Halloran
2008,"Sunday, 2nd March 2008",36,Sheffield Eagles,16,Doncaster,National League Cup Qual (32),942,"Don Valley Stadium, Sheffield, England",Mike Dawber
2008,"Friday, 7th March 2008",22,Sheffield Eagles,37,Football Club de Lezignan,Challenge Cup 3 (64),379,"Don Valley Stadium, Sheffield, England",Paul Carr
2008,"Saturday, 15th March 2008",14,London Skolars,34,Sheffield Eagles,National League Cup Qual (32),225,,
2008,"Thursday, 20th March 2008",52,Halifax,28,Sheffield Eagles,League 2,1654,,
2008,"Monday, 24th March 2008",25,Sheffield Eagles,6,Celtic Crusaders,League 2,665,"Don Valley Stadium, Sheffield, England",Robert Hicks
2008,"Thursday, 27th March 2008",16,Featherstone Rovers,25,Sheffield Eagles,League 2,1256,,
2008,"Sunday, 6th April 2008",44,Widnes Vikings,8,Sheffield Eagles,National League Cup QFQ (16),2262,,
2008,"Sunday, 13th April 2008",18,Sheffield Eagles,24,Leigh Centurions,League 2,1108,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2008,"Sunday, 27th April 2008",16,Batley Bulldogs,24,Sheffield Eagles,League 2,629,,
2008,"Friday, 2nd May 2008",24,Sheffield Eagles,24,Salford City Reds,League 2,1058,"Don Valley Stadium, Sheffield, England",Mike Dawber
2008,"Sunday, 18th May 2008",30,Widnes Vikings,22,Sheffield Eagles,League 2,3891,,
2008,"Friday, 30th May 2008",46,Sheffield Eagles,22,Halifax,League 2,1235,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2008,"Friday, 6th June 2008",34,Salford City Reds,10,Sheffield Eagles,League 2,3526,,
2008,"Friday, 20th June 2008",34,Sheffield Eagles,24,Batley Bulldogs,League 2,812,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2008,"Sunday, 29th June 2008",42,Leigh Centurions,22,Sheffield Eagles,League 2,2005,,
2008,"Friday, 11th July 2008",14,Sheffield Eagles,32,Whitehaven,League 2,810,"Don Valley Stadium, Sheffield, England",Robert Hicks
2008,"Sunday, 20th July 2008",32,Dewsbury Rams,36,Sheffield Eagles,League 2,718,,
2008,"Friday, 25th July 2008",29,Sheffield Eagles,28,Featherstone Rovers,League 2,2107,"Don Valley Stadium, Sheffield, England",Robert Hicks
2008,"Saturday, 2nd August 2008",42,Celtic Crusaders,6,Sheffield Eagles,League 2,1115,,
2008,"Thursday, 7th August 2008",52,Whitehaven,8,Sheffield Eagles,League 2,1904,,
2008,"Thursday, 14th August 2008",20,Sheffield Eagles,26,Widnes Vikings,League 2,1823,"Don Valley Stadium, Sheffield, England",Dave Merrick
2008,"Friday, 22nd August 2008",34,Sheffield Eagles,28,Dewsbury Rams,League 2,815,"Don Valley Stadium, Sheffield, England",James Child
2009,"Wednesday, 11th February 2009",38,Sheffield Eagles,16,Hunslet Hawks,National League Cup Qual (16),556,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2009,"Sunday, 15th February 2009",44,Gateshead Thunder,18,Sheffield Eagles,National League Cup Qual (16),1226,,
2009,"Sunday, 22nd February 2009",22,Oldham,34,Sheffield Eagles,National League Cup Qual (16),1173,,
2009,"Sunday, 1st March 2009",18,Sheffield Eagles,50,Halifax,National League Cup Qual (16),1065,"Don Valley Stadium, Sheffield, England",Mike Dawber
2009,"Sunday, 8th March 2009",22,Sheffield Eagles,6,Toulouse Olympique,Challenge Cup 3 (64),1554,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2009,"Sunday, 15th March 2009",22,Sheffield Eagles,23,Leigh Centurions,League 2,1220,"Don Valley Stadium, Sheffield, England",Dave Merrick
2009,"Saturday, 21st March 2009",12,Toulouse Olympique,18,Sheffield Eagles,League 2,1923,,
2009,"Saturday, 28th March 2009",28,Widnes Vikings,20,Sheffield Eagles,League 2,3181,,
2009,"Friday, 3rd April 2009",28,Sheffield Eagles,18,Dewsbury Rams,Challenge Cup 4 (32),597,,
2009,"Thursday, 9th April 2009",22,Sheffield Eagles,23,Doncaster,League 2,1209,"Don Valley Stadium, Sheffield, England",Craig Halloran
2009,"Monday, 13th April 2009",20,Featherstone Rovers,12,Sheffield Eagles,League 2,1612,,
2009,"Thursday, 16th April 2009",41,Gateshead Thunder,36,Sheffield Eagles,League 2,715,,
2009,"Sunday, 26th April 2009",20,Sheffield Eagles,22,Widnes Vikings,League 2,1231,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2009,"Sunday, 10th May 2009",34,Hull Kingston Rovers,24,Sheffield Eagles,Challenge Cup 5 (16),4955,,
2009,"Sunday, 17th May 2009",26,Halifax,40,Sheffield Eagles,League 2,2212,,
2009,"Saturday, 23rd May 2009",58,Sheffield Eagles,12,Toulouse Olympique,League 2,809,"Don Valley Stadium, Sheffield, England",James Child
2009,"Saturday, 30th May 2009",26,Barrow Raiders,18,Sheffield Eagles,League 2,1693,,
2009,"Saturday, 13th June 2009",28,Sheffield Eagles,24,Whitehaven,League 2,811,"Don Valley Stadium, Sheffield, England",Craig Halloran
2009,"Sunday, 28th June 2009",8,Doncaster,78,Sheffield Eagles,League 2,275,,
2009,"Friday, 3rd July 2009",30,Sheffield Eagles,4,Batley Bulldogs,League 2,1286,"Don Valley Stadium, Sheffield, England",Robert Hicks
2009,"Sunday, 19th July 2009",32,Leigh Centurions,24,Sheffield Eagles,League 2,1465,,
2009,"Thursday, 23rd July 2009",46,Sheffield Eagles,30,Gateshead Thunder,League 2,1410,"Don Valley Stadium, Sheffield, England",Craig Halloran
2009,"Sunday, 2nd August 2009",36,Whitehaven,34,Sheffield Eagles,League 2,1850,,
2009,"Sunday, 9th August 2009",22,Batley Bulldogs,34,Sheffield Eagles,League 2,730,,
2009,"Thursday, 13th August 2009",38,Sheffield Eagles,24,Halifax,League 2,1457,"Don Valley Stadium, Sheffield, England",Craig Halloran
2009,"Thursday, 27th August 2009",28,Sheffield Eagles,12,Featherstone Rovers,League 2,1028,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2009,"Thursday, 3rd September 2009",29,Sheffield Eagles,22,Barrow Raiders,League 2,1283,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2009,"Friday, 11th September 2009",8,Sheffield Eagles,32,Featherstone Rovers,Play-offs League 2 EPO,802,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2010,"Sunday, 7th February 2010",18,Featherstone Rovers,18,Sheffield Eagles,National League Cup Qual (16),1175,,
2010,"Sunday, 14th February 2010",40,Sheffield Eagles,10,York City Knights,National League Cup Qual (16),814,"Don Valley Stadium, Sheffield, England",Robert Hicks
2010,"Wednesday, 17th February 2010",13,Sheffield Eagles,6,Halifax,National League Cup Qual (16),851,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2010,"Monday, 22nd February 2010",22,Oldham,24,Sheffield Eagles,National League Cup Qual (16),340,,
2010,"Sunday, 28th February 2010",32,Halifax,26,Sheffield Eagles,League 2,2139,,
2010,"Sunday, 7th March 2010",54,Sheffield Eagles,0,Thatto Heath Crusaders,Challenge Cup 3 (64),502,"Don Valley Stadium, Sheffield, England",Greg Dolan
2010,"Sunday, 14th March 2010",30,Sheffield Eagles,44,Widnes Vikings,League 2,1085,"Don Valley Stadium, Sheffield, England",Warren Turley
2010,"Friday, 19th March 2010",22,Sheffield Eagles,10,Dewsbury Rams,League 2,835,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2010,"Friday, 2nd April 2010",16,Keighley Cougars,16,Sheffield Eagles,League 2,927,,
2010,"Monday, 5th April 2010",50,Barrow Raiders,4,Sheffield Eagles,League 2,1854,,
2010,"Sunday, 11th April 2010",16,Sheffield Eagles,40,Featherstone Rovers,League 2,2871,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2010,"Saturday, 17th April 2010",34,Sheffield Eagles,50,Wigan Warriors,Challenge Cup 4 (32),2950,"Don Valley Stadium, Sheffield, England",Ian Smith
2010,"Sunday, 25th April 2010",36,Leigh Centurions,20,Sheffield Eagles,League 2,1878,,
2010,"Monday, 3rd May 2010",64,Sheffield Eagles,24,Whitehaven,League 2,1301,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2010,"Wednesday, 12th May 2010",22,Sheffield Eagles,12,Batley Bulldogs,League 2,1170,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2010,"Saturday, 15th May 2010",38,Sheffield Eagles,24,Toulouse Olympique,League 2,979,"Don Valley Stadium, Sheffield, England",Craig Halloran
2010,"Thursday, 20th May 2010",20,Dewsbury Rams,22,Sheffield Eagles,League 2,1066,,
2010,"Thursday, 27th May 2010",24,Sheffield Eagles,25,Keighley Cougars,League 2,1271,"Don Valley Stadium, Sheffield, England",Thierry Alibert
2010,"Sunday, 6th June 2010",26,Batley Bulldogs,16,Sheffield Eagles,National League Cup QF,708,,
2010,"Sunday, 13th June 2010",14,Whitehaven,24,Sheffield Eagles,League 2,860,,
2010,"Thursday, 24th June 2010",26,Sheffield Eagles,36,Barrow Raiders,League 2,848,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2010,"Sunday, 4th July 2010",12,Batley Bulldogs,20,Sheffield Eagles,League 2,747,,
2010,"Saturday, 10th July 2010",24,Toulouse Olympique,34,Sheffield Eagles,League 2,2214,,
2010,"Sunday, 1st August 2010",30,Featherstone Rovers,32,Sheffield Eagles,League 2,2381,,
2010,"Sunday, 8th August 2010",24,Sheffield Eagles,38,Halifax,League 2,1473,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2010,"Thursday, 12th August 2010",30,Widnes Vikings,10,Sheffield Eagles,League 2,2659,,
2010,"Thursday, 19th August 2010",29,Sheffield Eagles,28,Leigh Centurions,League 2,1243,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2010,"Thursday, 2nd September 2010",24,Leigh Centurions,26,Sheffield Eagles,Play-offs League 2 EPO,1516,,
2010,"Friday, 10th September 2010",14,Barrow Raiders,21,Sheffield Eagles,Play-offs League 2 ESF,2231,,
2010,"Thursday, 16th September 2010",42,Halifax,16,Sheffield Eagles,Play-offs League 2 PF,1490,,
2011,"Sunday, 6th February 2011",20,Gateshead Thunder,32,Sheffield Eagles,National League Cup Qual (16),444,,
2011,"Sunday, 13th February 2011",16,Sheffield Eagles,16,Whitehaven,National League Cup Qual (16),727,"Don Valley Stadium, Sheffield, England",Peter Brooke
2011,"Sunday, 20th February 2011",68,Leigh Centurions,6,Sheffield Eagles,National League Cup Qual (16),1520,,
2011,"Sunday, 27th February 2011",12,Sheffield Eagles,16,Hunslet Hawks,National League Cup Qual (16),854,"Don Valley Stadium, Sheffield, England",Dave Merrick
2011,"Sunday, 6th March 2011",82,Sheffield Eagles,0,Leeds Metropolitan University,Challenge Cup 3 (64),350,"Don Valley Stadium, Sheffield, England",Matthew Kidd
2011,"Sunday, 13th March 2011",16,Sheffield Eagles,44,Widnes Vikings,League 2,1831,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2011,"Thursday, 17th March 2011",10,York City Knights,28,Sheffield Eagles,League 2,2022,,
2011,"Saturday, 26th March 2011",34,Sheffield Eagles,16,Toulouse Olympique,League 2,1076,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2011,"Sunday, 3rd April 2011",41,Sheffield Eagles,22,Halifax,League 2,1282,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2011,"Sunday, 17th April 2011",12,Dewsbury Rams,36,Sheffield Eagles,League 2,1010,,
2011,"Monday, 25th April 2011",16,Batley Bulldogs,28,Sheffield Eagles,League 2,843,,
2011,"Saturday, 7th May 2011",52,St. Helens,26,Sheffield Eagles,Challenge Cup 4 (32),3563,,
2011,"Sunday, 15th May 2011",8,Sheffield Eagles,44,Leigh Centurions,League 2,1778,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2011,"Sunday, 22nd May 2011",14,Halifax,12,Sheffield Eagles,League 2,1788,,
2011,"Sunday, 29th May 2011",70,Sheffield Eagles,12,Hunslet Hawks,League 2,907,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2011,"Friday, 3rd June 2011",40,Sheffield Eagles,12,Dewsbury Rams,League 2,683,"Mount St Marys, Spinkhill, England",Ronnie Laughton
2011,"Saturday, 11th June 2011",16,Toulouse Olympique,32,Sheffield Eagles,League 2,1200,,
2011,"Sunday, 26th June 2011",38,Widnes Vikings,24,Sheffield Eagles,League 2,4027,,
2011,"Thursday, 30th June 2011",30,Sheffield Eagles,26,Barrow Raiders,League 2,1054,"Don Valley Stadium, Sheffield, England",Tim Roby
2011,"Sunday, 24th July 2011",34,Leigh Centurions,22,Sheffield Eagles,League 2,2633,,
2011,"Thursday, 28th July 2011",34,Featherstone Rovers,6,Sheffield Eagles,League 2,1527,,
2011,"Sunday, 7th August 2011",24,Hunslet Hawks,32,Sheffield Eagles,League 2,424,,
2011,"Saturday, 13th August 2011",36,Barrow Raiders,26,Sheffield Eagles,League 2,1179,,
2011,"Sunday, 21st August 2011",28,Sheffield Eagles,26,Batley Bulldogs,League 2,1174,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2011,"Sunday, 28th August 2011",12,Sheffield Eagles,34,Featherstone Rovers,League 2,1336,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2011,"Sunday, 4th September 2011",52,Sheffield Eagles,18,York City Knights,League 2,1147,"Don Valley Stadium, Sheffield, England",Chris Leatherbarrow
2011,"Friday, 9th September 2011",36,Sheffield Eagles,20,Widnes Vikings,Play-offs League 2 EPO,564,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2011,"Sunday, 18th September 2011",50,Sheffield Eagles,12,Halifax,Play-offs League 2 ESF,1233,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2011,"Thursday, 22nd September 2011",10,Leigh Centurions,20,Sheffield Eagles,Play-offs League 2 PF,1818,,
2011,"Sunday, 2nd October 2011",40,Featherstone Rovers,4,Sheffield Eagles,Play-offs League 2 Final,7263,"Neutral Venue: The Halliwell Jones Stadium, Warrington, England",Matthew Thomason
2012,"Sunday, 12th February 2012",14,Workington Town,28,Sheffield Eagles,National League Cup Qual (16),532,,
2012,"Sunday, 19th February 2012",23,Sheffield Eagles,22,Leigh Centurions,National League Cup Qual (16),1045,"Don Valley Stadium, Sheffield, England",Robert Hicks
2012,"Sunday, 26th February 2012",12,Doncaster,56,Sheffield Eagles,National League Cup Qual (16),731,,
2012,"Friday, 2nd March 2012",36,Sheffield Eagles,4,York City Knights,National League Cup Qual (16),725,"Don Valley Stadium, Sheffield, England",Robert Hicks
2012,"Sunday, 11th March 2012",56,Sheffield Eagles,22,Swinton Lions,League 2,1815,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2012,"Sunday, 18th March 2012",22,Hunslet Hawks,40,Sheffield Eagles,League 2,419,,
2012,"Saturday, 24th March 2012",8,Oulton Raiders,58,Sheffield Eagles,Challenge Cup 3 (64),,,
2012,"Thursday, 29th March 2012",18,Sheffield Eagles,50,Halifax,League 2,1412,"Bramall Lane, Sheffield, England",Gareth Hewer
2012,"Saturday, 7th April 2012",40,Featherstone Rovers,60,Sheffield Eagles,League 2,2293,,
2012,"Sunday, 15th April 2012",12,York City Knights,50,Sheffield Eagles,Challenge Cup 4 (32),551,,
2012,"Sunday, 22nd April 2012",23,Keighley Cougars,16,Sheffield Eagles,League 2,948,,
2012,"Saturday, 28th April 2012",68,Catalans Dragons,6,Sheffield Eagles,Challenge Cup 5 (16),3102,,
2012,"Sunday, 6th May 2012",32,Sheffield Eagles,34,Leigh Centurions,League 2,1237,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2012,"Thursday, 10th May 2012",18,York City Knights,25,Sheffield Eagles,League 2,462,,
2012,"Friday, 18th May 2012",42,Sheffield Eagles,10,Dewsbury Rams,League 2,1154,"Bramall Lane, Sheffield, England",Clint Sharrad
2012,"Thursday, 24th May 2012",26,Sheffield Eagles,16,Batley Bulldogs,League 2,1117,"Bramall Lane, Sheffield, England",Ronnie Laughton
2012,"Saturday, 2nd June 2012",12,Association Sportive de Carcassonne XIII,40,Sheffield Eagles,Anglo French Challenge,,,
2012,"Thursday, 7th June 2012",40,Leigh Centurions,12,Sheffield Eagles,League 2,1645,,
2012,"Friday, 15th June 2012",48,Sheffield Eagles,0,Hunslet Hawks,National League Cup QF,286,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2012,"Friday, 22nd June 2012",44,Sheffield Eagles,10,York City Knights,League 2,784,"Don Valley Stadium, Sheffield, England",Jamie Leahy
2012,"Sunday, 1st July 2012",24,Swinton Lions,32,Sheffield Eagles,League 2,506,"Leigh Sports Village Stadium, Leigh, England",Gareth Hewer
2012,"Friday, 6th July 2012",22,Sheffield Eagles,24,Halifax,National League Cup Semi,671,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2012,"Thursday, 12th July 2012",24,Batley Bulldogs,32,Sheffield Eagles,League 2,874,,
2012,"Friday, 20th July 2012",16,Sheffield Eagles,6,Keighley Cougars,League 2,854,"Don Valley Stadium, Sheffield, England",Matthew Thomason
2012,"Sunday, 5th August 2012",30,Halifax,26,Sheffield Eagles,League 2,1912,,
2012,"Friday, 10th August 2012",30,Sheffield Eagles,20,Hunslet Hawks,League 2,777,"Don Valley Stadium, Sheffield, England",Matthew Thomason
