Timestamp,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,When did you last attend a game (home or away)?,What made you first start watching the Sheffield Eagles?,What is your favourite memory of the Sheffield Eagles? ,"Do you have any Sheffield Eagles memorabilia - old photographs, match day programmes, stickers, shirts, press cuttings etc - that you'd be willing to share with the project? If so please provide brief details. ","Can you quickly describe what the Sheffield Eagles means to you, this could be because you are a supporter, a player, a sponsor or an organisation that works with the Club. ",What are some of the stories that are part of the history of the Sheffield Eagles that you think deserve sharing to a wider audience? ,Which of the following would you be interested in taking part in? Please tick as many that apply. You aren't committing yourself to anything we just want to see what people might be interested in.,"What do you see as the possible benefits of a project like this, for you personally, the organisation you work for, rugby league in general or the club specifically? ",Do you think there is a need for a project like this? If so could you say what that need is.,Please let us have any other comments about the project. ,Are You? ,How old are you? ,How would you describe yourself,Could you provide your postcode? This will help us understand where people are responding from. ,,,
9/26/2021 19:01:07,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,12.9.21,My Dad and brother had been going so I wanted to tag along.,Winning at Wembley in 2019 with my son in attendance.,,"I love being a part of the faithful, family like group of supporters who support the team through the turbulent years we have gone through on and off the field. Being able to watch the team when they show what they are capable of and being able to shout and clap their amazing tries","The 1st Wembley win. 
The 2nd Wembley win.
The fight back after the merger with Huddersfield  to get Sheffield Eagles a team again. 
The back to back championship wins.
The Eagles academy and the players it created.",Attending events and talks about the history of the club,"It would be good to get Eagles a higher profile within Sheffield, people need to hear about how they’ve battled through over the years.
I would love to read/hear other people’s memories of the events I’ve attended.",Sheffield Eagles needs to make people aware they are still here and they are worth the time to watch them and to look at their history.,"I look forward to having all these memories recorded, so we will never lose Eagles heritage and will be able to build on this history to make a long and successful future for the club.",Female,40-49,White,S9,,,
9/26/2021 19:55:09,A former employee and Reserve Grade Player,2011- 2021,Someone who occasionally attends home games,Swinton last home game of this current season,I watched the Eagles as a St Helens fan but when I came to Sheffield for University at Hallam I started to attend games and then did my University placement at the club.,"Working in the Community for the club, relaunching the foundation and completing the 92 in 92 hours challenge to raise funds for the foundation","I have some signed memorabilia from my time at the club, including a signed poster from the evening with Ricky Hatton","I started my working career at the club and have recently just got back involved with the foundation as a trustee, the club is a real family club and in my opinion one of the best kept secrets in Sheffield's sporting community. ","The history of the foundation, the first rugby club, of either code to have one.",Attending events and talks about the history of the club,"Sheffield is a vibrant multicultural city with a keen interest in sport, being able to raise awareness of the club could be crucial to attracting new supporters and giving people another opportunity to experience live sport in their city.","Yes, documenting the history of a club gives you the opportunity to preserve what has gone before, the ability to give players a heritage number helps build a community of people that have been involved with the club. Being able to do something similar with staff would be great as well to understand where former employees now work and extend the Eagles community.",,Male,25-39,White,S7,,,
9/26/2021 20:24:58,Ex Player ,1984 - 1990,A current or former player,2018,When I started playing for them,The Fans,No,It was a great Family atmosphere,,,,,,Male,50-59,,,,,
9/26/2021 20:35:28,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who occasionally attends home games,September 2019,1998,,Yes ,Amazing to have a rugby league club within the city ,,"Being part of the project steering group, Attending events and talks about the history of the club, Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Help broaden the arisens of everyone in the city about rugby league ,Yes ,,Male,25-39,White,S75  ,,,
9/26/2021 20:38:30,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Dewsbury (H) this season,My Uncle,"1998 Wembley, 1895 cup Wembley and seeing my daughter walk out with the players. ",Sadly not no.,The club means the world to me as a fan and as a community rugby league coach at Sheffield Hawks ARLFC. The club has given me a love for the game from the age of 4. ,One of my favourites was the Batley away game in 2019 when it went to golden point and Issac Farrel kicked a last gasp drop.goal to win the game. Best edge of the seat game for me.,,It could potentially help with community clubs in Sheffield and getting people that do t follow anymore to fall back in love with the game.,,,Male,25-39,White,S74,,,
9/26/2021 20:41:55,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,A current or former player,2021,As a former player of Sheffield Hawks had an interest in the sport.,Winning the 1895 cup at Wembley. Or playing vs the eagles for Leeds Met Uni in the challenge cup.,Not that I’m aware of,A sense of pride for the city and the sport when they do well,,Attending events and talks about the history of the club,,,,Male,25-39,White,S35,,,
9/27/2021 7:52:59,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,Home game. 2015,My son played with the Eagles academy,Winning the challenge cup,No,It's family and community orientation,Rising again after the merger,We now live overseas but follow LPEagles,Wider Community knowledge Of the club,Yes history is important,,Female,70 or older,White,We live in Gibraltar,,,
9/27/2021 8:00:25,A player or member of club staff,,A current or former player,,,Winning the 2nd division final at Old Trafford ,Yes ,A brilliant closenit club,,"To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",,,,Male,60-69,White,WF10,,,
9/27/2021 10:13:35,A Sheffield Eagles fan who no longer attends games,1991 - 2000,A current or former player,2014,"Father managing DVS, would go to work with him.",2013 grand final win.,,"A route into rugby league in a football dominated city. A bit if a sleeping giant, and the link between the heartlands and expansion.","The influence of certain individuals (Mark Aston, Andrew Henderson etc)",Taking part in researching the history of the area,A wider reach. The club has done some amazing work in the past and can again with the right direction and reach.,"Yes, as above. The history of the club shows the potential for success that people will want to be part of. ",,Male,25-39,White,HU6,,,
9/27/2021 12:35:21,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,Two weekends ago,Free ticket from childrens' school,Too many to pick one.,Yes quite a few programmes and some photos.,Great to see a Sheffield team playing the greatest game,"The reformation, the successes, the new stadium",,Raise awareness and contribute to Sheffield's history,Yes,,Male,60-69,White,S11,,,
9/27/2021 22:27:20,A former player ,2001 - 2010,A current or former player,2010,Amateur club,Playing for them ,"Shirts, programs, team photo ","Sentimental feelings, want to support the club more",End of seasons dos,Happy to pass my details on,Show my kids about the club,Be great to see lots of info digitised and easy to access,,Male,25-39,White,S74,,,
11/4/2021 0:19:42,A player or member of club staff,2001 - 2010,Someone who used to attend games,2018,Playing within Hillsborough Hawks,Menzie knocking someone out with his head when he first signed! ,,"Sheffield Eagles are my home club, the beiginning of my playing career. They hold a fond place in my heart when it comes to who I am today. The people I meat, the lessons I learned whilst being at the Eagles will live with me forever.",,"Being part of the project steering group, Carrying out interviews with players, staff or supporters to gather their stories, Cataloguing, digitising and recording memorabilia, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories",It brings the history back to the club and allows for a greater community feel. It also highlights the importnace of Rugby league for many within the city.,"Yes, to highlight that Sheffield is more than just football and that there is a history or players, fans and staff that have made a very successful club work for many years. A club that have supported so many communities around Sheffield for a very long time.",,Male,25-39,Mixed / Multiple Ethnic Groups,S57,,,
